"","DATE","USEPUINDXM","FEDFUNDS","CPALTT01USM659N","UNRATE","INDPRO","DIFF","unemployment_growth","cpi_growth","rate_diff","INDPRO_growth","cpi_diff","uncertainty_growth"
"174",1999-07-01,79.81312,4.99,2.14460784313726,4.3,91.7766,16,0,8.83859169664503,0.23,0.63090450613581,0.18141765908819,8.90761436546539
"175",1999-08-01,69.55318,5.07,2.26438188494492,4.2,92.1629,15,-2.3530497410194,5.43451112589124,0.0800000000000001,0.420030029376051,0.11977404180766,-13.7596262143313
"176",1999-09-01,69.81623,5.22,2.62836185819071,4.2,91.774,14,0,14.9058961306594,0.149999999999999,-0.422863035642607,0.36397997324579,0.377486440335861
"177",1999-10-01,62.71155,5.2,2.56097560975608,4.1,92.9979,13,-2.40975515790607,-2.59725010657531,-0.0199999999999996,1.32478791431803,-0.0673862484346301,-10.7320863028851
"178",1999-11-01,82.06383,5.42,2.62195121951218,4.1,93.4371,12,0,2.35304974101953,0.22,0.471157038623904,0.0609756097561003,26.8951717890342
"179",1999-12-01,83.80947,5.3,2.68456375838926,4,94.1593,11,-2.46926125903715,2.35994602991182,-0.12,0.769954613036994,0.06261253887708,2.10486491722559
"180",2000-01-01,89.20154,5.45,2.73889227023736,4,94.1758,10,0,2.0035316558617,0.15,0.0175219595733189,0.0543285118480998,6.235229574781
"181",2000-02-01,77.60139,5.73,3.22188449848025,4.1,94.4557,9,2.46926125903715,16.2412878619604,0.28,0.296769315228929,0.48299222824289,-13.9312964611041
"182",2000-03-01,77.54831,5.85,3.75757575757574,4,94.798,8,-2.46926125903715,15.3807567797809,0.119999999999999,0.361737047423727,0.53569125909549,-0.0684242406797431
"183",2000-04-01,76.05923,6.02,3.06859205776174,3.8,95.4808,7,-5.12932943875506,-20.2555160841526,0.17,0.717686816156693,-0.688983699814,-1.93887181308572
"184",2000-05-01,97.98621,6.27,3.18892900120337,4,95.6435,6,5.12932943875506,3.84662808277938,0.25,0.170255733364755,0.12033694344163,25.3314375621446
"185",2000-06-01,92.96502,6.53,3.73044524669075,4,95.7353,5,0,15.6842471492974,0.260000000000001,0.0959353983207123,0.54151624548738,-5.26034611169424
"186",2000-07-01,79.44698,6.54,3.65926814637075,4,95.5906,4,0,-1.92644282071786,0.00999999999999979,-0.151260260726893,-0.0711771003199999,-15.7133412434334
"187",2000-08-01,66.58134,6.5,3.41113105924597,4.1,95.3112,3,2.46926125903715,-7.02192421833645,-0.04,-0.292716149871808,-0.24813708712478,-17.6665522824034
"188",2000-09-01,75.14165,6.52,3.45443716497915,3.9,95.679,2,-5.00104205746614,1.2615614229718,0.0199999999999996,0.38515112782358,0.0433061057331798,12.0950640806212
"189",2000-10-01,84.66173,6.51,3.44827586206898,3.9,95.397,1,0,-0.178518345534728,-0.00999999999999979,-0.295170722377947,-0.00616130291016992,11.9288670649313
"190",2000-11-01,125.06754,6.51,3.44622697563874,3.9,95.4229,0,0,-0.0594353657916935,0,0.0271460158599801,-0.00204888643024015,39.0190241818122
"191",2000-12-01,115.26872,6.4,3.38680926916222,3.9,95.1573,47,0,-1.73917427118662,-0.109999999999999,-0.278727981135773,-0.0594177064765198,-8.15878131944112
"192",2001-01-01,111.41604,5.98,3.73222748815165,4.2,94.5448,46,7.41079721537221,9.7116977591881,-0.42,-0.645751552998952,0.34541821898943,-3.39947954220099
"193",2001-02-01,110.91785,5.49,3.53356890459364,4.2,93.9398,45,0,-5.46968558848198,-0.49,-0.641964465810041,-0.19865858355801,-0.4481465545215
"194",2001-03-01,116.02695,5.31,2.92056074766355,4.3,93.7201,44,2.3530497410194,-19.053274662435,-0.180000000000001,-0.234147093092485,-0.61300815693009,4.50326544883231
"195",2001-04-01,122.67341,4.8,3.26911850554582,4.4,93.4469,43,2.29895182246989,11.2744743684569,-0.51,-0.29193201154829,0.34855775788227,5.57031291072603
"196",2001-05-01,100.42902,4.21,3.61516034985421,4.3,92.876,42,-2.29895182246989,10.0615833034019,-0.59,-0.612809039153284,0.34604184430839,-20.0074411498746
"197",2001-06-01,86.39027,3.97,3.24825986078885,4.5,92.3208,41,4.54623740767575,-10.701678593354,-0.24,-0.599580190660998,-0.36690048906536,-15.0576155589571
"198",2001-07-01,102.13185,3.77,2.7199074074074,4.6,91.7933,40,2.1978906718775,-17.7521587165452,-0.2,-0.573015802003685,-0.52835245338145,16.7389571866524
"199",2001-08-01,84.28912,3.65,2.7199074074074,4.9,91.6795,39,6.31789016215318,0,-0.12,-0.124051101409606,0,-19.2011831786384
"200",2001-09-01,188.05949,3.07,2.64824409902131,5,91.3289,38,2.02027073175193,-2.67010220980616,-0.58,-0.38315228035124,-0.07166330838609,80.2505555137016
"201",2001-10-01,173.14337,2.49,2.12643678160918,5.3,90.9315,37,5.82689081239758,-21.9449109812351,-0.58,-0.436080058823141,-0.52180731741213,-8.26383693290325
"202",2001-11-01,130.57564,2.09,1.89546237794371,5.5,90.486,36,3.70412716803492,-11.4984898737352,-0.4,-0.491133320103021,-0.23097440366547,-28.2167303907749
"203",2001-12-01,117.23659,1.82,1.55172413793102,5.7,90.5073,35,3.57180826020793,-20.0096147902546,-0.27,0.0235367829620081,-0.34373824001269,-10.775864592462
"204",2002-01-01,116.83746,1.73,1.14220445459736,5.7,91.0794,34,0,-30.6406532527617,-0.0900000000000001,0.630114312233498,-0.40951968333366,-0.341029163058781
"205",2002-02-01,87.60069,1.74,1.13765642775882,5.7,91.0553,33,0,-0.398974595925641,0.01,-0.0264639304214498,-0.00454802683854005,-28.7994863529154
"206",2002-03-01,83.44043,1.73,1.47559591373441,5.7,91.798,32,0,26.0091536216498,-0.01,0.812349664239775,0.33793948597559,-4.86559105407718
"207",2002-04-01,88.5661,1.75,1.63934426229508,5.9,92.1771,31,3.44861760711692,10.5234404301319,0.02,0.412121571414747,0.16374834856067,5.9616201800857
"208",2002-05-01,86.29886,1.75,1.18176702307261,5.8,92.5668,30,-1.70944333593002,-32.7285526257903,0,0.421881943603175,-0.45757723922247,-2.59327776150933
"209",2002-06-01,93.61022,1.75,1.06741573033709,5.8,93.4476,29,0,-10.1770273688465,0,0.947030534187299,-0.11435129273552,8.13231772885095
"210",2002-07-01,110.30517,1.73,1.46478873239436,5.8,93.2237,28,0,31.6470500231641,-0.02,-0.23988701784452,0.39737300205727,16.4111231770654
"211",2002-08-01,116.01482,1.74,1.80281690140844,5.7,93.2359,27,-1.73917427118691,20.7639364778243,0.01,0.0130859446414888,0.33802816901408,5.04671442388078
"212",2002-09-01,124.04314,1.75,1.51430173864274,5.7,93.3654,26,0,-17.4395952749014,0.01,0.138798626579995,-0.2885151627657,6.69114667599322
"213",2002-10-01,111.88597,1.75,2.02588632526733,5.7,93.0834,25,0,29.1052862160281,0,-0.302496143750108,0.51158458662459,-10.3149180672769
"214",2002-11-01,123.28438,1.34,2.19842164599776,5.9,93.5693,24,3.44861760711692,8.17323729586571,-0.41,0.520647274453179,0.17253532073043,9.70134916042973
"215",2002-12-01,122.22167,1.24,2.37691001697795,6,93.1103,23,1.68071183163812,7.80616627035524,-0.1,-0.491752633885678,0.17848837098019,-0.865735599985928
"216",2003-01-01,138.9534,1.24,2.59740259740261,5.8,93.8198,22,-3.39015516756813,8.87106127425855,0,0.759110926566997,0.22049258042466,12.8302261864466
"217",2003-02-01,126.72774,1.26,2.9808773903262,5.9,93.9532,21,1.70944333593002,13.7705738772003,0.02,0.142086479358561,0.38347479292359,-9.20976193763927
"218",2003-03-01,163.5238,1.25,3.0201342281879,5.9,93.7358,20,0,1.30835933525397,-0.01,-0.231659923837313,0.0392568378617,25.4917539746588
"219",2003-04-01,135.62755,1.26,2.22469410456063,6,93.0657,19,1.68071183163812,-30.5681851748435,0.01,-0.717449136493897,-0.79544012362727,-18.7046019531588
"220",2003-05-01,102.61982,1.26,2.05784204671858,6.1,93.0918,18,1.65293019512105,-7.79615414697131,0,0.0280407721107601,-0.16685205784205,-27.8881434493055
"221",2003-06-01,95.8273,1.22,2.11228460255697,6.3,93.2476,17,3.22608622182214,2.6112228163189,-0.04,0.167221785951277,0.0544425558383899,-6.84834784025234
"222",2003-07-01,91.74151,1.01,2.10993892282066,6.2,93.6582,16,-1.60003413464409,-0.111111122541785,-0.21,0.439366419370657,-0.00234567973630995,-4.35726644725172
"223",2003-08-01,95.67181,1.03,2.15827338129497,6.1,93.5246,15,-1.62605208717805,2.26495409869888,0.02,-0.142748182724528,0.0483344584743102,4.1948740119337
"224",2003-09-01,106.11576,1.01,2.32044198895027,6.1,94.0751,14,0,7.24491384860734,-0.02,0.586889616683806,0.1621686076553,10.3606884990608
"225",2003-10-01,88.04379,1.01,2.0408163265306,6,94.2079,13,-1.65293019512105,-12.8407792134127,0,0.141064272421509,-0.27962566241967,-18.6696269357177
